GMU,Fall Male Harvest,Fall Female Harvest,Total Harvest,Number Hunters,Hunter Success,Hunter Days,Days/Kill
501 - Lincoln,9,4,13,180,7%,"1,562",120
504 - Stella,2,0,2,71,3%,533,267
506 - Willapa Hills,21,8,29,406,7%,"3,450",119
530 - Ryderwood,10,3,13,408,3%,"3,642",280
601 - Hoko,3,2,5,62,8%,315,63
602 - Dickey,6,3,9,139,6%,"1,066",118
603 - Pysht,6,5,11,79,14%,543,49
607 - Sol Duc,8,5,13,114,11%,715,55
612 - Goodman,3,2,5,80,6%,890,178
615 - Clearwater,17,20,37,255,15%,"2,065",56
618 - Matheny,2,0,2,36,6%,213,107
621 - Olympic,15,3,18,300,6%,"2,302",128
636 - Skokomish,13,7,20,198,10%,"1,302",65
638 - Quinault Ridge,17,2,19,55,35%,665,35
642 - Copalis,7,5,12,68,18%,678,57
648 - Wynoochee,17,8,25,263,10%,"2,667",107
651 - Satsop,7,0,7,178,4%,"1,414",202
658 - North River,20,3,23,174,13%,"1,607",70
660 - Minot Peak,17,5,22,276,8%,"2,570",117
663 - Capitol Peak,18,3,21,313,7%,"2,212",105
672 - Fall River,12,7,19,280,7%,"2,921",154
673 - Williams Creek,7,2,9,244,4%,"2,049",228
681 - Bear River,8,10,18,171,11%,"1,299",72
684 - Long Beach,3,2,5,30,17%,392,78
699 - Long Island,0,0,0,14,0%,113,0
