Opportunity,Male,Female,Unknown,Total
General Season,95,118,1,214
Depredation,57,23,0,80
Other,12,17,4,33
All Opportunities,164,158,5,327
GMU,Male,Female,Unknown,Total
101 - SHERMAN,2,7,0,9
105 - KELLY HILL,1,1,1,3
108 - DOUGLAS,4,1,0,5
111 - ALADDIN,1,3,0,4
113 - SELKIRK,2,2,0,4
117 - 49 DEGREES NORTH,4,2,0,6
121 - HUCKLEBERRY,3,5,0,8
124 - MOUNT SPOKANE,2,5,0,7
127 - MICA PEAK,3,0,0,3
130 - CHENEY,1,0,0,1
133 - ROOSEVELT,1,2,0,3
136 - HARRINGTON,0,0,0,0
139 - STEPTOE,1,1,0,2
142 - ALMOTA,0,2,0,2
145 - MAYVIEW,1,1,0,2
149 - PRESCOTT,0,1,0,1
154 - BLUE CREEK,1,4,0,5
162 - DAYTON,6,1,0,7
163 - MARENGO,1,1,0,2
166 - TUCANNON,0,1,0,1
169 - WENAHA,0,0,0,0
172 - MOUNTAIN VIEW,1,0,0,1
175 - LICK CREEK,0,2,0,2
178 - PEOLA,0,0,0,0
181 - COUSE,1,5,0,6
186 - GRANDE RONDE,0,1,0,1
203 - PASAYTEN,0,0,0,0
204 - OKANOGAN EAST,3,3,0,6
209 - WANNACUT,0,0,0,0
215 - SINLAHEKIN,2,1,0,3
218 - CHEWUCH,0,0,0,0
224 - PEARRYGIN,0,1,0,1
231 - GARDNER,0,0,0,0
233 - POGUE,0,1,0,1
239 - CHILIWIST,0,1,0,1
242 - ALTA,0,0,0,0
243 - MANSON,0,0,0,0
244 - CLARK,0,0,0,0
245 - CHIWAWA,3,1,0,4
246 - SLIDE RIDGE,1,0,0,1
247 - ENTIAT,1,0,0,1
248 - BIG BEND,1,1,0,2
249 - ALPINE,0,0,0,0
250 - SWAKANE,3,0,0,3
251 - MISSION,0,0,0,0
254 - SAINT ANDREWS,0,0,0,0
260 - FOSTER CREEK,0,1,0,1
262 - WITHROW,1,1,0,2
266 - BADGER,0,0,0,0
269 - MOSES COULEE,1,2,0,3
272 - BEEZLEY,1,0,0,1
278 - WAHLUKE,0,0,0,0
284 - RITZVILLE,0,0,0,0
290 - DESERT,0,0,0,0
328 - NANEUM,3,4,0,7
329 - QUILOMENE,2,0,0,2
330 - WEST BAR,0,0,0,0
334 - ELLENSBURG,1,1,0,2
335 - TEANAWAY,1,3,0,4
336 - TANEUM,0,0,0,0
340 - MANASTASH,0,1,0,1
342 - UMTANUM,0,2,0,2
346 - LITTLE NACHES,1,0,0,1
352 - NILE,0,0,0,0
356 - BUMPING,1,0,0,1
360 - BETHEL,0,1,0,1
364 - RIMROCK,0,0,0,0
368 - COWICHE,0,2,0,2
371 - ALKALI,0,0,0,0
372 - RATTLESNAKE HILLS,0,0,0,0
373 - HORSE HEAVEN,0,0,0,0
379 - RINGOLD,0,0,0,0
381 - KAHLOTUS,0,0,0,0
382 - EAST KLICKITAT,1,2,0,3
388 - GRAYBACK,1,2,0,3
407 - NORTH SOUND,2,3,0,5
418 - NOOKSACK,2,2,0,4
426 - DIABLO,0,0,0,0
437 - SAUK,0,2,0,2
448 - STILLAGUAMISH,1,1,0,2
450 - CASCADE,0,0,0,0
454 - ISSAQUAH,0,0,0,0
460 - SNOQUALMIE,0,2,0,2
466 - STAMPEDE,0,0,0,0
485 - GREEN RIVER,0,0,0,0
490 - CEDAR RIVER,0,0,0,0
501 - LINCOLN,0,0,0,0
503 - RANDLE,0,0,0,0
504 - STELLA,0,0,0,0
505 - MOSSYROCK,0,0,0,0
506 - WILLAPA HILLS,0,1,0,1
510 - STORMKING,0,0,0,0
513 - SOUTH RAINIER,0,0,0,0
516 - PACKWOOD,1,0,0,1
520 - WINSTON,0,5,0,5
524 - MARGARET,0,0,0,0
530 - RYDERWOOD,1,1,0,2
550 - COWEEMAN,1,2,0,3
554 - YALE,0,0,0,0
556 - TOUTLE,1,0,0,1
560 - LEWIS RIVER,0,3,0,3
564 - BATTLE GROUND,1,1,0,2
568 - WASHOUGAL,4,0,0,4
572 - SIOUXON,2,0,0,2
574 - WIND RIVER,0,1,0,1
578 - WEST KLICKITAT,1,4,0,5
601 - HOKO,0,0,0,0
602 - DICKEY,1,0,0,1
603 - PYSHT,1,0,0,1
607 - SOL DUC,0,1,0,1
612 - GOODMAN,0,0,0,0
615 - CLEARWATER,0,0,0,0
618 - MATHENY,0,0,0,0
