Total Applicants,Permits Issued,Reports Returned,Hunters,Hunter Success,Antlerless Harvest,Antlered Harvest,Total Harvest,1 Point,2 Point,3 Point,4 Point,5+ Point
70,5,2,0,0%,0,0,0,0,0,0,0,0
101 - SHERMAN,0,1,1,0,0,0,1,0,,,,
105 - KELLY HILL,0,0,0,0,0,0,0,0,,,,
108 - DOUGLAS,0,1,1,0,0,0,1,0,,,,
111 - ALADDIN,0,0,0,0,0,0,0,0,,,,
113 - SELKIRK,0,1,1,0,0,0,0,1,,,,
117 - 49 DEGREES NORTH,0,0,0,0,0,0,0,0,,,,
121 - HUCKLEBERRY,1,1,2,0,0,1,0,0,,,,
Totals,1,4,5,0,0,1,2,1,,,,
Archery,"3,052",55,"3,107","1,994","1,113","13,048",24%,,,,,
Modern Firearm,"18,481","1,015","19,496","18,524",972,"75,510",26%,,,,,
Muzzleloader,"1,191",108,"1,299","1,067",232,"5,633",23%,,,,,
Statewide Total,"22,724","1,178","23,902","21,585","2,317","94,191",25%,,,,,
Archery,0,105,105,11,6,13,50,25,585,18%,"4,643",44
Modern Firearm,0,376,376,43,39,111,126,57,"2,224",17%,"10,831",29
Multiple Weapons,0,85,85,7,4,23,34,17,262,32%,"1,939",23
Muzzleloader,0,37,37,5,10,4,18,0,181,20%,776,21
Totals,0,603,603,66,59,151,228,99,n/a,n/a,n/a,n/a
101 - SHERMAN,0,604,604,66,59,151,229,99,,,,
105 - KELLY HILL,0,219,219,27,25,59,73,35,,,,
108 - DOUGLAS,0,245,245,40,29,74,79,23,,,,
111 - ALADDIN,0,262,262,30,47,99,64,22,,,,
113 - SELKIRK,0,256,256,42,42,53,81,38,,,,
117 - 49 DEGREES NORTH,0,584,584,76,77,147,214,70,,,,
121 - HUCKLEBERRY,1,"1,126","1,127",108,157,301,416,144,,,,
Totals,1,"3,296","3,297",389,436,884,"1,156",431,,,,
