GMU,Antlerless Harvest,Antlered Harvest,Total Harvest,1 Point,2 Point,3 Point,4 Point,5+ Point
101 - SHERMAN,0,604,604,66,59,151,229,99
105 - KELLY HILL,0,219,219,27,25,59,73,35
108 - DOUGLAS,0,245,245,40,29,74,79,23
111 - ALADDIN,0,262,262,30,47,99,64,22
113 - SELKIRK,0,256,256,42,42,53,81,38
117 - 49 DEGREES NORTH,0,584,584,76,77,147,214,70
121 - HUCKLEBERRY,1,"1,126","1,127",108,157,301,416,144
Totals,1,"3,296","3,297",389,436,884,"1,156",431
124 - MOUNT SPOKANE,37,"1,049","1,086",116,133,217,427,156
127 - MICA PEAK,16,202,218,0,0,28,105,69
130 - CHENEY,25,160,185,0,0,36,83,41
133 - ROOSEVELT,59,269,328,0,1,108,111,49
136 - HARRINGTON,57,267,324,0,0,107,117,43
139 - STEPTOE,56,318,374,0,2,101,140,75
142 - ALMOTA,61,318,379,1,8,131,137,41
Totals,311,"2,583","2,894",117,144,728,"1,120",474
145 - MAYVIEW,22,199,221,0,3,73,98,25
149 - PRESCOTT,46,530,576,0,4,185,222,119
154 - BLUE CREEK,72,147,219,0,0,31,88,28
157 - MILL CREEK WATERSHED,0,0,0,0,0,0,0,0
162 - DAYTON,49,150,199,1,0,44,78,27
163 - MARENGO,35,101,136,0,0,39,53,9
166 - TUCANNON,0,51,51,0,0,8,31,12
169 - WENAHA,0,27,27,0,0,15,4,8
172 - MOUNTAIN VIEW,5,57,62,0,0,27,23,7
175 - LICK CREEK,0,32,32,0,0,13,12,7
178 - PEOLA,34,169,203,0,2,60,63,44
181 - COUSE,11,169,180,1,1,51,73,43
186 - GRANDE RONDE,4,60,64,0,0,23,24,13
Totals,278,"1,692","1,970",2,10,569,769,342
372 - RATTLESNAKE HILLS,7,52,59,0,0,28,19,5
373 - HORSE HEAVEN,34,125,159,0,0,35,48,42
379 - RINGOLD,17,50,67,0,0,25,17,8
381 - KAHLOTUS,61,232,293,1,4,96,87,44
Totals,119,459,578,1,4,184,171,99
272 - BEEZLEY,61,252,313,0,6,109,110,27
278 - WAHLUKE,4,77,81,0,0,30,25,22
284 - RITZVILLE,75,316,391,0,4,108,127,77
290 - DESERT,23,24,47,0,1,1,10,12
Totals,163,669,832,0,11,248,272,138
203 - PASAYTEN,0,7,7,0,0,5,2,0
204 - OKANOGAN EAST,67,578,645,27,27,190,219,115
209 - WANNACUT,12,128,140,0,2,57,56,13
215 - SINLAHEKIN,38,208,246,5,3,84,86,30
218 - CHEWUCH,21,195,216,2,8,60,90,35
