Method,Antlerless Harvest,Antlered Harvest,Total Harvest,1 Point,2 Point,3 Point,4 Point,5+ Point,Number Hunters,Hunter Success,Hunter Days,Days/Kill
Archery,0,105,105,11,6,13,50,25,585,18%,"4,643",44
Modern Firearm,0,376,376,43,39,111,126,57,"2,224",17%,"10,831",29
Multiple Weapons,0,85,85,7,4,23,34,17,262,32%,"1,939",23
Muzzleloader,0,37,37,5,10,4,18,0,181,20%,776,21
Totals,0,603,603,66,59,151,228,99,n/a,n/a,n/a,n/a
Archery,0,10,10,0,3,3,2,2,50,20%,251,25
Modern Firearm,0,193,193,25,22,54,63,29,618,31%,"2,863",15
Multiple Weapons,0,13,13,2,0,2,5,4,43,30%,195,15
Muzzleloader,0,3,3,0,0,0,3,0,13,23%,47,16
Totals,0,219,219,27,25,59,73,35,n/a,n/a,n/a,n/a
Archery,0,16,16,0,3,2,9,2,68,24%,448,28
Modern Firearm,0,218,218,36,26,72,65,19,988,22%,"4,614",21
Multiple Weapons,0,10,10,4,0,0,4,2,40,25%,307,31
Muzzleloader,0,0,0,0,0,0,0,0,19,0%,83,0
Totals,0,244,244,40,29,74,78,23,n/a,n/a,n/a,n/a
Archery,0,4,4,0,0,2,2,0,37,11%,263,66
Modern Firearm,0,241,241,28,47,89,55,22,"1,101",22%,"5,520",23
Multiple Weapons,0,9,9,2,0,5,2,0,40,23%,243,27
Muzzleloader,0,8,8,0,0,3,5,0,24,33%,99,12
Totals,0,262,262,30,47,99,64,22,n/a,n/a,n/a,n/a
Archery,0,7,7,0,2,3,2,0,63,11%,428,61
Modern Firearm,0,204,204,39,31,42,62,30,"1,228",17%,"6,427",32
Multiple Weapons,0,16,16,0,2,5,7,2,120,13%,958,60
Muzzleloader,0,28,28,3,7,3,10,5,234,12%,"1,346",48
Totals,0,255,255,42,42,53,81,37,n/a,n/a,n/a,n/a
Archery,0,58,58,6,2,14,26,10,302,19%,"2,003",35
Modern Firearm,0,465,465,64,69,117,164,51,"2,603",18%,"12,562",27
Multiple Weapons,0,50,50,3,6,11,21,9,197,25%,"1,598",32
Muzzleloader,0,11,11,3,0,5,3,0,77,14%,306,28
Totals,0,584,584,76,77,147,214,70,n/a,n/a,n/a,n/a
Archery,0,51,51,2,5,15,22,7,326,16%,"2,157",42
Modern Firearm,0,980,980,99,141,264,355,121,"3,702",26%,"17,589",18
Multiple Weapons,0,73,73,7,8,12,32,14,251,29%,"1,421",19
Muzzleloader,0,21,21,0,3,9,7,2,82,26%,315,15
Totals,0,"1,125","1,125",108,157,300,416,144,n/a,n/a,n/a,n/a
Archery,0,251,251,19,21,52,113,46,"1,332",19%,"10,097",40
Modern Firearm,0,"2,677","2,677",334,375,749,890,329,"11,402",23%,"60,226",22
Multiple Weapons,0,256,256,25,20,58,105,48,829,31%,"6,550",26
Muzzleloader,0,108,108,11,20,24,46,7,606,18%,"2,948",27
Totals,0,"3,292","3,292",389,436,883,"1,154",430,n/a,n/a,n/a,n/a
Archery,0,164,164,14,14,28,84,24,657,25%,"4,130",25
Modern Firearm,31,820,851,98,112,186,311,113,"2,793",30%,"12,829",15
Multiple Weapons,2,56,58,2,6,3,26,19,217,27%,"1,663",29
Muzzleloader,0,9,9,2,1,0,6,0,62,15%,236,26
Totals,33,"1,049","1,082",116,133,217,427,156,n/a,n/a,n/a,n/a
Archery,0,96,96,0,0,8,54,34,307,31%,"1,977",21
Modern Firearm,12,69,81,0,0,12,32,25,475,17%,"1,831",23
Multiple Weapons,0,21,21,0,0,5,11,5,78,27%,517,25
Muzzleloader,0,4,4,0,0,2,2,0,17,24%,71,18
Totals,12,190,202,0,0,27,99,64,n/a,n/a,n/a,n/a
Archery,0,7,7,0,0,2,3,2,93,8%,495,71
Modern Firearm,0,102,102,0,0,26,48,28,653,16%,"2,411",24
Multiple Weapons,0,13,13,0,0,4,6,3,88,15%,569,44
Muzzleloader,0,34,34,0,0,3,25,6,192,18%,842,25
Totals,0,156,156,0,0,35,82,39,n/a,n/a,n/a,n/a
Archery,0,12,12,0,0,5,4,3,80,15%,384,32
Modern Firearm,10,182,192,0,0,77,79,26,765,25%,"3,124",16
Multiple Weapons,0,26,26,0,0,13,9,4,72,36%,480,18
Muzzleloader,0,40,40,0,0,13,15,12,170,24%,742,19
Totals,10,260,270,0,0,108,107,45,n/a,n/a,n/a,n/a
Archery,0,11,11,0,0,6,3,2,71,15%,390,35
Modern Firearm,0,202,202,0,0,79,94,29,982,21%,"3,613",18
Multiple Weapons,0,30,30,0,0,9,11,10,104,29%,614,20
Muzzleloader,0,20,20,0,0,12,6,2,80,25%,305,15
Totals,0,263,263,0,0,106,114,43,n/a,n/a,n/a,n/a
Archery,6,15,21,0,0,3,12,0,53,40%,221,11
Modern Firearm,8,235,243,0,0,84,97,54,939,26%,"3,112",13
Multiple Weapons,0,19,19,0,0,5,10,4,81,23%,411,22
Muzzleloader,0,35,35,0,0,7,17,11,112,31%,456,13
Totals,14,304,318,0,0,99,136,69,n/a,n/a,n/a,n/a
Archery,4,2,6,0,0,2,0,0,30,20%,162,27
Modern Firearm,3,250,253,0,0,114,104,32,706,36%,"2,152",9
Multiple Weapons,0,29,29,0,0,10,16,3,95,31%,480,17
Muzzleloader,0,23,23,0,0,4,14,5,61,38%,190,8
Totals,7,304,311,0,0,130,134,40,n/a,n/a,n/a,n/a
Archery,10,307,317,14,14,54,160,65,"1,226",26%,"7,705",24
Modern Firearm,64,"1,860","1,924",98,112,578,765,307,"6,958",28%,"29,026",15
Multiple Weapons,2,194,196,2,6,49,89,48,672,29%,"4,786",24
Muzzleloader,0,165,165,2,1,41,85,36,632,26%,"2,727",17
Totals,76,"2,526","2,602",116,133,722,"1,099",456,n/a,n/a,n/a,n/a
Archery,8,4,12,0,0,2,2,0,23,52%,94,8
Modern Firearm,11,166,177,0,0,60,85,21,559,32%,"1,560",9
Multiple Weapons,0,8,8,0,0,2,4,2,24,33%,68,9
Muzzleloader,0,12,12,0,0,8,2,2,38,32%,138,12
Totals,19,190,209,0,0,72,93,25,n/a,n/a,n/a,n/a
Archery,22,10,32,0,0,3,5,2,118,27%,713,22
Modern Firearm,4,417,421,0,0,143,182,92,"1,305",32%,"4,565",11
Multiple Weapons,0,44,44,0,0,19,16,9,123,36%,730,17
Muzzleloader,3,47,50,0,0,20,14,13,174,29%,680,14
Totals,29,518,547,0,0,185,217,116,n/a,n/a,n/a,n/a
Archery,13,8,21,0,0,0,8,0,121,17%,701,33
Modern Firearm,47,123,170,0,0,26,70,27,739,23%,"2,880",17
Multiple Weapons,2,13,15,0,0,4,9,0,39,38%,275,18
