Total Applicants,Permits Issued,Reports Returned,Hunters,Hunter Success,Antlerless Harvest,Antlered Harvest,Total Harvest,1 Point,2 Point,3 Point,4 Point,5+ Point
70,5,2,0,0%,0,0,0,0,0,0,0,0
104,1,0,0,0%,0,0,0,0,0,0,0,0
48,5,5,3,33%,0,1,1,0,0,0,1,0
60,1,0,0,0%,0,0,0,0,0,0,0,0
102,5,4,3,0%,0,0,0,0,0,0,0,0
68,1,0,0,0%,0,0,0,0,0,0,0,0
115,1,1,1,100%,0,1,1,0,0,0,0,1
149,5,5,3,0%,0,0,0,0,0,0,0,0
112,1,0,0,0%,0,0,0,0,0,0,0,0
209,5,3,2,0%,0,0,0,0,0,0,0,0
209,1,0,0,0%,0,0,0,0,0,0,0,0
172,5,3,0,0%,0,0,0,0,0,0,0,0
173,5,4,4,50%,0,2,2,0,0,0,2,0
131,5,3,2,100%,0,2,2,0,0,0,1,1
170,5,4,3,67%,0,2,2,0,0,0,1,1
279,5,3,2,100%,0,2,2,0,0,1,1,0
175,5,2,0,0%,0,0,0,0,0,0,0,0
196,5,4,2,50%,0,1,1,0,0,1,0,0
464,4,4,4,50%,0,2,2,0,0,1,1,0
355,2,2,2,50%,0,1,1,0,0,0,0,1
114,2,0,0,0%,0,0,0,0,0,0,0,0
138,4,1,1,100%,0,1,1,0,0,0,1,0
151,1,0,0,0%,0,0,0,0,0,0,0,0
991,10,9,8,100%,0,8,8,0,0,4,2,2
974,9,9,9,78%,0,7,7,1,0,2,3,1
"1,129",14,9,9,67%,0,6,6,0,1,2,1,2
"2,056",15,12,12,92%,0,11,11,0,0,2,7,2
532,10,9,9,78%,0,7,7,0,1,1,3,2
489,15,12,12,92%,0,11,11,1,0,2,5,3
924,15,11,10,50%,0,5,5,0,0,0,3,2
376,7,3,3,33%,0,1,1,0,0,0,1,0
"1,331",19,13,13,92%,0,12,12,0,0,1,6,5
664,9,6,5,100%,0,5,5,0,1,0,2,2
"4,724",15,13,11,100%,0,11,11,0,0,2,6,3
962,9,4,4,100%,0,4,4,0,0,0,3,1
798,7,6,5,100%,0,5,5,0,0,1,3,1
"2,606",18,16,16,88%,0,14,14,0,0,1,7,6
"4,182",5,5,5,100%,0,5,5,0,0,0,2,3
562,15,9,8,75%,0,6,6,0,2,2,2,0
"1,290",20,16,15,80%,0,12,12,0,2,5,4,1
679,29,23,23,48%,0,11,11,0,2,2,4,3
533,5,3,3,100%,0,3,3,0,1,1,1,0
258,5,4,4,50%,0,2,2,0,2,0,0,0
449,10,8,7,86%,0,6,6,0,1,1,2,2
"1,175",7,7,7,86%,0,6,6,0,0,0,3,3
951,20,15,15,80%,0,12,12,0,0,7,4,1
177,25,20,14,21%,0,3,3,0,3,0,0,0
67,9,6,6,33%,0,2,2,0,0,2,0,0
219,25,14,14,21%,0,3,3,1,1,0,1,0
159,12,10,7,71%,0,5,5,0,3,1,1,0
116,10,8,6,17%,0,1,1,0,1,0,0,0
520,5,5,5,60%,0,3,3,0,2,1,0,0
104,4,2,2,0%,0,0,0,0,0,0,0,0
56,2,1,0,0%,0,0,0,0,0,0,0,0
296,4,4,3,100%,0,3,3,0,0,2,1,0
40,1,1,1,0%,0,0,0,0,0,0,0,0
30,1,1,1,0%,0,0,0,0,0,0,0,0
60,1,0,0,0%,0,0,0,0,0,0,0,0
275,4,3,2,100%,0,2,2,0,1,0,1,0
274,4,1,1,0%,0,0,0,0,0,0,0,0
340,4,4,4,100%,0,4,4,1,0,2,1,0
314,1,0,0,0%,0,0,0,0,0,0,0,0
144,1,1,1,0%,0,0,0,0,0,0,0,0
145,2,2,1,100%,0,1,1,0,0,1,0,0
83,1,0,0,0%,0,0,0,0,0,0,0,0
404,20,16,15,53%,0,8,8,0,3,3,2,0
569,15,11,10,40%,0,4,4,0,0,3,1,0
137,10,6,4,25%,0,1,1,0,0,1,0,0
144,8,4,3,33%,0,1,1,0,1,0,0,0
197,10,9,6,33%,0,2,2,0,2,0,0,0
130,8,5,4,25%,0,1,1,0,1,0,0,0
75,8,4,4,0%,0,0,0,0,0,0,0,0
139,5,5,5,60%,0,3,3,2,1,0,0,0
144,8,7,5,60%,0,3,3,0,2,1,0,0
252,9,8,4,25%,0,1,1,0,1,0,0,0
127,5,3,3,67%,0,2,2,0,2,0,0,0
152,9,5,4,50%,0,2,2,0,0,0,2,0
277,6,4,4,50%,0,2,2,0,0,0,1,1
112,1,0,0,0%,0,0,0,0,0,0,0,0
"1,099",30,18,18,61%,0,11,11,0,3,3,3,2
395,9,7,7,43%,0,3,3,0,1,0,1,1
766,9,7,6,17%,0,1,1,0,0,0,0,1
154,5,3,1,100%,0,1,1,0,0,0,1,0
174,6,2,2,0%,0,0,0,0,0,0,0,0
157,14,7,3,0%,0,0,0,0,0,0,0,0
55,10,4,1,100%,0,1,1,0,0,0,1,0
51,10,8,5,20%,0,1,1,0,1,0,0,0
258,45,25,20,40%,0,8,8,0,0,1,6,1
195,10,8,8,63%,0,5,5,0,1,0,3,1
209,2,2,2,100%,0,2,2,0,0,0,1,1
114,1,1,1,100%,0,1,1,0,0,1,0,0
257,9,8,8,38%,0,3,3,0,0,1,1,1
479,2,2,2,50%,0,1,1,0,0,0,0,1
90,3,3,3,33%,0,1,1,0,0,1,0,0
117,1,1,1,100%,0,1,1,0,1,0,0,0
111,2,0,0,0%,0,0,0,0,0,0,0,0
71,0,0,0,0%,0,0,0,0,0,0,0,0
161,3,1,1,100%,0,1,1,0,0,0,1,0
81,10,7,2,100%,0,2,2,0,1,0,1,0
"1,662",291,194,89,39%,0,35,35,0,0,3,16,16
"2,469",57,45,40,58%,0,23,23,0,0,4,14,5
"1,380",25,20,13,62%,0,8,8,0,0,2,3,3
536,14,8,7,71%,0,5,5,0,0,0,5,0
910,1,1,1,100%,0,1,1,0,0,1,0,0
"3,256",19,11,8,50%,0,4,4,1,0,0,1,2
"1,914",19,17,15,73%,0,11,11,0,0,2,4,5
884,10,7,4,75%,0,3,3,0,1,0,2,0
"1,552",9,7,4,50%,0,2,2,0,0,0,1,1
686,10,6,5,60%,0,3,3,1,0,0,1,1
710,10,8,6,67%,0,4,4,0,0,2,0,2
771,8,7,7,43%,0,3,3,0,0,0,1,2
900,10,7,5,60%,0,3,3,0,1,0,0,2
"1,418",10,8,6,100%,0,6,6,0,1,2,3,0
582,4,3,3,33%,0,1,1,0,0,1,0,0
155,5,3,1,100%,0,1,1,0,1,0,0,0
307,5,3,2,50%,0,1,1,0,1,0,0,0
154,5,3,1,100%,0,1,1,1,0,0,0,0
303,5,1,0,0%,0,0,0,0,0,0,0,0
239,1,1,1,0%,0,0,0,0,0,0,0,0
334,3,3,3,67%,0,2,2,0,0,1,1,0
518,3,2,2,50%,0,1,1,0,1,0,0,0
301,2,1,1,100%,0,1,1,0,0,1,0,0
75,5,3,1,0%,0,0,0,0,0,0,0,0
287,10,6,5,20%,0,1,1,0,1,0,0,0
200,10,6,3,33%,0,1,1,0,0,1,0,0
327,2,1,1,100%,0,1,1,0,0,0,0,1
174,5,2,2,100%,0,2,2,0,0,2,0,0
181,10,8,6,0%,0,0,0,0,0,0,0,0
178,10,7,4,0%,0,0,0,0,0,0,0,0
170,3,2,1,0%,0,0,0,0,0,0,0,0
208,18,11,5,0%,0,0,0,0,0,0,0,0
118,5,4,2,50%,0,1,1,1,0,0,0,0
48,5,2,2,0%,0,0,0,0,0,0,0,0
82,10,7,4,25%,0,1,1,0,0,0,1,0
130,15,8,3,33%,0,1,1,0,0,0,1,0
45,9,9,8,38%,0,3,3,0,0,1,2,0
135,5,5,3,0%,0,0,0,0,0,0,0,0
77,20,13,7,14%,0,1,1,0,0,1,0,0
70,16,12,6,50%,0,3,3,0,0,0,3,0
38,11,4,4,0%,0,0,0,0,0,0,0,0
187,1,1,1,100%,0,1,1,0,0,0,1,0
376,1,1,1,100%,0,1,1,0,0,0,1,0
186,22,17,9,22%,0,2,2,0,0,1,1,0
275,5,4,3,33%,0,1,1,0,0,1,0,0
294,5,5,5,80%,0,4,4,0,0,0,3,1
131,2,1,0,0%,0,0,0,0,0,0,0,0
224,19,17,11,0%,0,0,0,0,0,0,0,0
33,5,2,1,100%,0,1,1,0,1,0,0,0
35,5,4,2,0%,0,0,0,0,0,0,0,0
539,15,11,3,33%,1,0,1,0,0,0,0,0
"1,023",21,15,11,82%,9,0,9,0,0,0,0,0
636,15,11,9,78%,7,0,7,0,0,0,0,0
"1,078",15,9,1,0%,0,0,0,0,0,0,0,0
364,5,5,3,100%,3,0,3,0,0,0,0,0
411,15,10,6,33%,2,0,2,0,0,0,0,0
503,5,2,2,100%,2,0,2,0,0,0,0,0
328,10,9,6,67%,4,0,4,0,0,0,0,0
410,14,10,5,20%,1,0,1,0,0,0,0,0
588,30,20,12,42%,5,0,5,0,0,0,0,0
