GMU,Antlerless Harvest,Antlered Harvest,Total Harvest,1 Point,2 Point,3 Point,4 Point,5+ Point
101 - SHERMAN,0,1,1,0,0,0,1,0
105 - KELLY HILL,0,0,0,0,0,0,0,0
108 - DOUGLAS,0,1,1,0,0,0,1,0
111 - ALADDIN,0,0,0,0,0,0,0,0
113 - SELKIRK,0,1,1,0,0,0,0,1
117 - 49 DEGREES NORTH,0,0,0,0,0,0,0,0
121 - HUCKLEBERRY,1,1,2,0,0,1,0,0
Totals,1,4,5,0,0,1,2,1
124 - MOUNT SPOKANE,4,0,4,0,0,0,0,0
127 - MICA PEAK,4,12,16,0,0,1,6,5
130 - CHENEY,25,4,29,0,0,1,1,2
133 - ROOSEVELT,49,9,58,0,1,0,4,4
136 - HARRINGTON,57,4,61,0,0,1,3,0
139 - STEPTOE,42,14,56,0,2,2,4,6
142 - ALMOTA,54,14,68,1,8,1,3,1
Totals,235,57,292,1,11,6,21,18
145 - MAYVIEW,3,9,12,0,3,1,5,0
149 - PRESCOTT,17,12,29,0,4,0,5,3
154 - BLUE CREEK,10,3,13,0,0,1,1,1
157 - MILL CREEK WATERSHED,0,0,0,0,0,0,0,0
162 - DAYTON,6,18,24,1,0,3,12,2
163 - MARENGO,11,5,16,0,0,1,4,0
166 - TUCANNON,0,8,8,0,0,2,4,2
169 - WENAHA,0,2,2,0,0,1,1,0
172 - MOUNTAIN VIEW,1,6,7,0,0,0,6,0
175 - LICK CREEK,0,1,1,0,0,1,0,0
178 - PEOLA,9,8,17,0,2,2,1,3
181 - COUSE,6,2,8,1,1,0,0,0
186 - GRANDE RONDE,0,0,0,0,0,0,0,0
Totals,63,74,137,2,10,12,39,11
372 - RATTLESNAKE HILLS,1,0,1,0,0,0,0,0
373 - HORSE HEAVEN,24,5,29,0,0,1,3,1
379 - RINGOLD,5,2,7,0,0,2,0,0
381 - KAHLOTUS,56,6,62,1,4,1,0,0
Totals,86,13,99,1,4,4,3,1
272 - BEEZLEY,20,4,24,0,2,1,0,1
278 - WAHLUKE,0,0,0,0,0,0,0,0
284 - RITZVILLE,64,12,76,0,4,3,5,0
290 - DESERT,23,24,47,0,1,1,10,12
Totals,107,40,147,0,7,5,15,13
203 - PASAYTEN,0,0,0,0,0,0,0,0
204 - OKANOGAN EAST,5,13,18,1,0,4,4,4
209 - WANNACUT,4,0,4,0,0,0,0,0
215 - SINLAHEKIN,8,18,26,1,0,4,7,6
218 - CHEWUCH,3,9,12,0,2,2,3,2
224 - PEARRYGIN,4,13,17,0,0,2,8,3
231 - GARDNER,3,10,13,1,1,1,4,3
233 - POGUE,5,15,20,1,0,4,5,5
239 - CHILIWIST,4,5,9,0,0,0,3,2
242 - ALTA,3,13,16,0,2,0,6,5
Totals,39,96,135,4,5,17,40,30
243 - MANSON,14,1,15,0,0,0,1,0
244 - CLARK,0,0,0,0,0,0,0,0
245 - CHIWAWA,7,16,23,0,0,1,8,7
246 - SLIDE RIDGE,0,6,6,0,1,1,2,2
247 - ENTIAT,2,24,26,0,3,5,11,5
248 - BIG BEND,18,1,19,0,1,0,0,0
249 - ALPINE,0,0,0,0,0,0,0,0
250 - SWAKANE,4,4,8,0,0,0,3,1
251 - MISSION,7,8,15,0,0,2,4,2
254 - SAINT ANDREWS,7,0,7,0,0,0,0,0
260 - FOSTER CREEK,17,0,17,0,0,0,0,0
262 - WITHROW,9,0,9,0,0,0,0,0
266 - BADGER,8,0,8,0,0,0,0,0
269 - MOSES COULEE,5,0,5,0,0,0,0,0
Totals,98,60,158,0,5,9,29,17
328 - NANEUM,0,9,9,0,4,2,3,0
329 - QUILOMENE,0,13,13,0,2,5,5,1
330 - WEST BAR,0,0,0,0,0,0,0,0
334 - ELLENSBURG,0,0,0,0,0,0,0,0
335 - TEANAWAY,0,12,12,0,2,3,4,3
336 - TANEUM,0,1,1,0,0,0,1,0
340 - MANASTASH,0,3,3,0,2,1,0,0
342 - UMTANUM,0,0,0,0,0,0,0,0
346 - LITTLE NACHES,0,0,0,0,0,0,0,0
352 - NILE,0,0,0,0,0,0,0,0
356 - BUMPING,0,0,0,0,0,0,0,0
360 - BETHEL,0,1,1,0,1,0,0,0
364 - RIMROCK,0,1,1,0,1,0,0,0
368 - COWICHE,0,6,6,0,1,1,2,2
371 - ALKALI,0,8,8,0,0,0,4,4
Totals,0,54,54,0,13,12,19,10
382 - EAST KLICKITAT,2,3,5,0,1,2,0,0
388 - GRAYBACK,2,13,15,0,1,7,4,1
554 - YALE,0,0,0,0,0,0,0,0
560 - LEWIS RIVER,1,0,1,0,0,0,0,0
564 - BATTLE GROUND,1,1,2,0,1,0,0,0
568 - WASHOUGAL,3,1,4,0,0,1,0,0
572 - SIOUXON,1,0,1,0,0,0,0,0
574 - WIND RIVER,2,8,10,0,3,3,2,0
578 - WEST KLICKITAT,3,4,7,0,0,3,1,0
Totals,15,30,45,0,6,16,7,1
501 - LINCOLN,7,0,7,0,0,0,0,0
503 - RANDLE,1,0,1,0,0,0,0,0
504 - STELLA,0,0,0,0,0,0,0,0
505 - MOSSYROCK,5,0,5,0,0,0,0,0
506 - WILLAPA HILLS,1,3,4,0,0,2,1,0
510 - STORMKING,0,0,0,0,0,0,0,0
513 - SOUTH RAINIER,1,0,1,0,0,0,0,0
516 - PACKWOOD,0,0,0,0,0,0,0,0
520 - WINSTON,6,2,8,0,1,0,1,0
522 - LOO-WIT,0,0,0,0,0,0,0,0
524 - MARGARET,0,0,0,0,0,0,0,0
530 - RYDERWOOD,5,0,5,0,0,0,0,0
550 - COWEEMAN,7,4,11,1,0,2,1,0
556 - TOUTLE,7,0,7,0,0,0,0,0
Totals,40,9,49,1,1,4,3,0
652 - PUYALLUP,0,0,0,0,0,0,0,0
653 - WHITE RIVER,0,1,1,0,1,0,0,0
