Weapon Type,General Season Harvest,Permit Season Harvest,Total Harvest,Antlered Harvest,Antlerless Harvest,Hunters,Hunter Success
Archery,"3,052",55,"3,107","1,994","1,113","13,048",24%
Modern Firearm,"18,481","1,015","19,496","18,524",972,"75,510",26%
Muzzleloader,"1,191",108,"1,299","1,067",232,"5,633",23%
Statewide Total,"22,724","1,178","23,902","21,585","2,317","94,191",25%
Archery,"18,312","12,744","1,971","1,081","3,052",24%,
Modern Firearm,"99,840","72,767","18,162",319,"18,481",25%,
Muzzleloader,"7,451","5,179","1,034",157,"1,191",23%,
Statewide Total,"125,603","90,690","21,167","1,557","22,724",25%,
Archery,304,23,32,55,18%,,
Modern Firearm,"2,743",362,653,"1,015",37%,,
Muzzleloader,454,33,75,108,24%,,
Statewide Total,"3,501",418,760,"1,178",34%,,
General,"8,345","6,580","2,368",223,"2,591",39%,
Special,"8,345",625,78,123,201,32%,
