GMU,Antlerless Harvest,Antlered Harvest,Total Harvest,1 Point,2 Point,3 Point,4 Point,5 Point,6+ Point
"101
                - SHERMAN",3,13,16,5,0,0,2,0,6
"105
                - KELLY HILL",1,16,17,3,0,0,0,9,4
"108
                - DOUGLAS",4,21,25,8,0,0,4,7,2
"111
                - ALADDIN",2,16,18,4,0,0,0,12,0
"113
                - SELKIRK",13,33,46,9,2,0,2,14,6
"117
                - 49 DEGREES NORTH",27,40,67,16,3,0,3,12,6
"121
                - HUCKLEBERRY",5,124,129,26,13,10,12,35,28
Totals,55,263,318,71,18,10,23,89,52
"124
                - MOUNT SPOKANE",15,46,61,9,2,2,3,16,14
"127
                - MICA PEAK",52,47,99,7,5,3,6,14,12
"130
                - CHENEY",45,83,128,18,10,3,6,18,28
"133
                - ROOSEVELT",8,26,34,7,2,2,2,6,7
"136
                - HARRINGTON",2,9,11,0,0,0,0,5,4
"139
                - STEPTOE",26,26,52,5,11,0,2,4,4
"142
                - ALMOTA",17,20,37,2,0,2,0,8,8
Totals,165,257,422,48,30,12,19,71,77
"145
                - MAYVIEW",0,0,0,0,0,0,0,0,0
"149
                - PRESCOTT",2,14,16,13,0,0,0,0,1
"154
                - BLUE CREEK",7,11,18,5,0,0,0,0,6
"157
                - MILL CREEK WATERSHED",0,5,5,0,0,0,0,1,4
"162
                - DAYTON",0,8,8,3,2,0,0,0,3
"163
                - MARENGO",2,4,6,4,0,0,0,0,0
"166
                - TUCANNON",0,7,7,3,2,0,0,0,2
"169
                - WENAHA",0,10,10,2,2,0,0,0,6
"172
                - MOUNTAIN VIEW",3,33,36,18,5,0,0,1,9
"175
                - LICK CREEK",0,31,31,22,7,0,0,0,2
"178
                - PEOLA",1,8,9,2,3,0,0,0,3
"181
                - COUSE",9,10,19,6,0,0,0,0,4
"186
                - GRANDE RONDE",0,2,2,2,0,0,0,0,0
Totals,24,143,167,80,21,0,0,2,40
"372
                - RATTLESNAKE HILLS",7,42,49,0,0,0,0,9,33
