Total Applicants,Permits Issued,Reports Returned,Hunters,Hunter Success,Antlerless Harvest,Antlered Harvest,Total Harvest,1 Point,2 Point,3 Point,4 Point,5+ Point
513,1,1,1,100%,0,1,1,0,0,0,0,1
153,3,2,2,0%,0,0,0,0,0,0,0,0
321,1,1,1,100%,0,1,1,0,0,0,0,1
332,5,4,4,75%,0,3,3,0,0,0,0,3
664,26,22,19,26%,0,5,5,0,0,0,0,5
589,3,3,2,100%,0,2,2,0,0,0,0,2
621,3,2,2,100%,0,2,2,0,0,0,0,2
462,5,4,4,50%,0,2,2,0,0,0,0,2
428,4,3,2,0%,0,0,0,0,0,0,0,0
661,7,5,5,80%,0,4,4,0,0,0,0,4
386,2,2,2,100%,0,2,2,0,0,0,0,2
68,1,1,1,100%,0,1,1,0,0,0,0,1
55,1,1,1,100%,0,1,1,0,0,0,0,1
121,6,5,5,40%,0,2,2,0,0,0,0,2
84,1,0,0,0%,0,0,0,0,0,0,0,0
"1,287",2,2,2,50%,0,1,1,0,0,0,0,1
"2,558",1,1,1,100%,0,1,1,0,0,0,1,0
"3,467",11,9,8,75%,0,6,6,0,0,0,0,6
645,2,2,2,100%,0,2,2,0,0,0,0,2
"1,559",2,2,2,50%,0,1,1,0,0,0,0,1
"1,027",2,1,1,100%,0,1,1,0,0,0,0,1
"1,211",3,3,3,33%,0,1,1,0,0,0,0,1
595,2,2,2,50%,0,1,1,0,0,0,0,1
479,2,1,1,100%,0,1,1,0,0,0,0,1
498,2,2,2,100%,0,2,2,0,0,0,0,2
634,2,2,2,100%,0,2,2,0,0,0,0,2
155,2,2,1,0%,0,0,0,0,0,0,0,0
"1,014",19,12,11,91%,0,10,10,1,0,0,1,8
"1,001",13,12,12,83%,0,10,10,0,0,1,1,8
959,10,7,7,43%,0,3,3,0,0,0,0,3
198,1,1,1,100%,0,1,1,0,0,0,0,1
209,3,3,3,33%,0,1,1,0,0,0,0,1
304,3,2,2,0%,0,0,0,0,0,0,0,0
115,1,1,0,0%,0,0,0,0,0,0,0,0
