GMU,Antlerless Harvest,Antlered Harvest,Total Harvest,1 Point,2 Point,3 Point,4 Point,5 Point,6+ Point
"101
                - SHERMAN",1,1,2,0,0,0,0,0,1
"105
                - KELLY HILL",1,0,1,0,0,0,0,0,0
"108
                - DOUGLAS",2,0,2,0,0,0,0,0,0
"111
                - ALADDIN",2,0,2,0,0,0,0,0,0
"113
                - SELKIRK",6,0,6,0,0,0,0,0,0
"117
                - 49 DEGREES NORTH",13,0,13,0,0,0,0,0,0
"121
                - HUCKLEBERRY",4,0,4,0,0,0,0,0,0
Totals,29,1,30,0,0,0,0,0,1
"124
                - MOUNT SPOKANE",2,0,2,0,0,0,0,0,0
"127
                - MICA PEAK",0,0,0,0,0,0,0,0,0
"130
                - CHENEY",6,1,7,0,0,0,0,1,0
"133
                - ROOSEVELT",1,0,1,0,0,0,0,0,0
"136
                - HARRINGTON",0,0,0,0,0,0,0,0,0
"139
                - STEPTOE",0,0,0,0,0,0,0,0,0
"142
                - ALMOTA",0,0,0,0,0,0,0,0,0
Totals,9,1,10,0,0,0,0,1,0
"145
                - MAYVIEW",0,0,0,0,0,0,0,0,0
"149
                - PRESCOTT",2,1,3,0,0,0,0,0,1
"154
                - BLUE CREEK",2,6,8,0,0,0,0,0,6
"157
                - MILL CREEK WATERSHED",0,5,5,0,0,0,0,1,4
"162
                - DAYTON",0,3,3,0,0,0,0,0,3
"163
                - MARENGO",0,0,0,0,0,0,0,0,0
"166
                - TUCANNON",0,2,2,0,0,0,0,0,2
"169
                - WENAHA",0,6,6,0,0,0,0,0,6
"172
                - MOUNTAIN VIEW",3,10,13,0,0,0,0,1,9
"175
                - LICK CREEK",0,2,2,0,0,0,0,0,2
"178
                - PEOLA",1,3,4,0,0,0,0,0,3
"181
                - COUSE",7,4,11,0,0,0,0,0,4
"186
                - GRANDE RONDE",0,0,0,0,0,0,0,0,0
Totals,15,42,57,0,0,0,0,2,40
"372
                - RATTLESNAKE HILLS",4,4,8,0,0,0,0,1,3
"373
                - HORSE HEAVEN",2,0,2,0,0,0,0,0,0
"379
                - RINGOLD",0,0,0,0,0,0,0,0,0
"381
                - KAHLOTUS",0,0,0,0,0,0,0,0,0
Totals,6,4,10,0,0,0,0,1,3
"272
                - BEEZLEY",0,0,0,0,0,0,0,0,0
"278
                - WAHLUKE",0,0,0,0,0,0,0,0,0
"284
                - RITZVILLE",0,0,0,0,0,0,0,0,0
"290
                - DESERT",0,0,0,0,0,0,0,0,0
Totals,0,0,0,0,0,0,0,0,0
"203
                - PASAYTEN",0,0,0,0,0,0,0,0,0
"204
                - OKANOGAN EAST",0,0,0,0,0,0,0,0,0
"209
                - WANNACUT",0,0,0,0,0,0,0,0,0
"215
                - SINLAHEKIN",0,0,0,0,0,0,0,0,0
"218
                - CHEWUCH",0,0,0,0,0,0,0,0,0
"224
                - PEARRYGIN",0,0,0,0,0,0,0,0,0
"231
                - GARDNER",0,0,0,0,0,0,0,0,0
