Species,Harvest,Hunters,Days
Chukar Partridge,"8,305","1,480","8,294"
Cottontail Rabbit,"1,651",837,"8,405"
Duck,"399,088","22,470","194,327"
Forest Grouse,"43,194","18,066","146,877"
Gray Partridge,"1,503",507,"4,552"
Late Goose,"58,281","7,516","53,390"
Mourning Dove,"28,440","1,961","7,128"
Pheasant (Eastern WA),"28,089","8,276","40,365"
Pheasant (Western WA),"24,471","3,409","29,348"
Quail (All Species),"27,566","4,015","24,138"
September Canada Goose,"3,200",869,"2,783"
Snipe,446,120,327
Snowshoe Hare,329,260,"1,691"
Adams,113,11,59
Asotin,"1,299",186,874
Benton,157,55,278
Chelan,676,265,"1,269"
Clallam,0,0,0
Clark,0,0,0
Columbia,9,7,9
Cowlitz,0,0,0
Douglas,"1,914",150,"1,072"
Ferry,0,0,0
Franklin,12,9,20
Garfield,32,31,67
Grant,82,87,314
Grays Harbor,0,0,0
Island,0,0,0
Jefferson,0,0,0
King,0,0,0
Kitsap,0,0,0
Kittitas,"2,324",337,"2,011"
Klickitat,132,55,506
Lewis,0,0,0
Lincoln,29,22,60
Mason,0,0,0
Okanogan,214,126,413
Pacific,0,0,0
Pend Oreille,0,0,0
Pierce,0,0,0
San Juan,0,0,0
Skagit,0,0,0
Skamania,0,0,0
Snohomish,0,0,0
Spokane,48,22,130
Stevens,0,0,0
Thurston,0,0,0
Wahkiakum,0,0,0
Walla Walla,22,9,19
Whatcom,0,0,0
Whitman,128,121,293
Yakima,"1,114",208,900
Adams,26,16,89
Asotin,35,22,56
Benton,48,18,117
Chelan,8,16,29
Clallam,36,31,257
Clark,98,42,304
Columbia,0,0,0
Cowlitz,50,48,627
Douglas,50,23,105
Ferry,45,38,404
Franklin,47,19,47
Garfield,13,12,31
Grant,37,50,99
Grays Harbor,49,43,247
Island,36,25,81
Jefferson,7,13,52
King,67,61,286
Kitsap,15,22,114
Kittitas,28,42,140
Klickitat,6,10,41
Lewis,45,52,529
Lincoln,71,31,139
Mason,13,21,158
Okanogan,27,39,76
Pacific,15,17,84
Pend Oreille,23,37,192
Pierce,47,51,483
San Juan,17,12,32
Skagit,23,31,70
Skamania,6,13,19
Snohomish,15,41,189
Spokane,15,17,31
Stevens,25,58,129
Thurston,72,59,647
Wahkiakum,5,9,15
Walla Walla,10,12,12
Whatcom,109,53,283
Whitman,9,11,20
Yakima,403,94,"2,171"
Adams,"7,707",792,"2,412"
Asotin,"1,165",79,"1,402"
Benton,"40,349","1,825","15,589"
Chelan,"2,627",253,"1,334"
Clallam,"2,491",230,"1,589"
Clark,"14,578","1,161","8,433"
Columbia,"1,438",86,538
Cowlitz,"2,273",285,"1,272"
Douglas,"4,474",328,"1,995"
Ferry,82,21,55
Franklin,"24,751","1,185","10,775"
Garfield,858,67,411
Grant,"64,364","3,693","28,871"
Grays Harbor,"14,121",788,"6,895"
Island,"2,292",240,"1,454"
Jefferson,"2,402",224,"1,009"
