Region,Badger,Beaver,Coyote,Marten,Mink,Muskrat,Nutria,Otter,Raccoon,Skunk (All),Skunk (Unknown),Spotted Skunk,Striped Skunk,Weasel
Region 1,0,67,0,0,5,37,0,13,25,114,36,0,78,11
Region 2,0,21,0,31,3,53,0,4,18,37,12,0,25,0
Region 3,1,123,3,21,6,115,0,14,44,58,0,0,58,0
Region 4,3,287,4,3,8,50,2,44,20,16,3,10,3,6
Region 5,0,200,0,14,0,44,35,35,37,10,3,0,7,0
Region 6,0,345,4,0,2,50,22,65,114,40,0,39,1,3
STATEWIDE,4,"1,043",11,69,24,349,59,175,258,275,54,49,172,20
Asotin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferry,0,13,0,0,0,0,0,3,0,5,5,0,0,0
Garfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,1,0,0,5,0,0,0,0,0
Pend Oreille,0,13,0,0,2,25,0,1,0,61,2,0,59,8
Spokane,0,7,0,0,2,0,0,6,15,18,1,0,17,0
Stevens,0,26,0,0,1,0,0,3,1,23,21,0,2,3
Walla Walla,0,1,0,0,0,11,0,0,0,0,0,0,0,0
Whitman,0,7,0,0,0,0,0,0,4,7,7,0,0,0
REGION TOTALS,0,67,0,0,5,37,0,13,25,114,36,0,78,11
Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelan,0,0,0,0,0,0,0,0,3,3,3,0,0,0
Douglas,0,0,0,31,0,0,0,0,1,2,0,0,2,0
Grant,0,4,0,0,0,52,0,0,1,1,1,0,0,0
Okanogan,0,17,0,0,3,1,0,4,13,31,8,0,23,0
REGION TOTALS,0,21,0,31,3,53,0,4,18,37,12,0,25,0
Benton,0,34,0,0,3,21,0,5,4,3,0,0,3,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kittitas,1,18,0,0,0,1,0,4,0,0,0,0,0,0
Yakima,0,71,3,21,3,93,0,5,40,55,0,0,55,0
REGION TOTALS,1,123,3,21,6,115,0,14,44,58,0,0,58,0
Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King,0,34,0,2,4,19,2,8,5,0,0,0,0,1
San Juan,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Skagit,3,124,2,1,1,7,0,18,3,12,1,9,2,5
Snohomish,0,84,2,0,1,0,0,11,6,3,2,1,0,0
Whatcom,0,37,0,0,2,24,0,7,6,1,0,0,1,0
REGION TOTALS,3,287,4,3,8,50,2,44,20,16,3,10,3,6
Clark,0,46,0,0,0,17,22,16,27,3,0,0,3,0
Cowlitz,0,5,0,0,0,0,0,6,2,0,0,0,0,0
Klickitat,0,6,0,0,0,0,0,0,1,0,0,0,0,0
Lewis,0,136,0,0,0,26,6,11,4,7,3,0,4,0
Skamania,0,6,0,14,0,0,0,0,3,0,0,0,0,0
Wahkiakum,0,1,0,0,0,1,7,2,0,0,0,0,0,0
REGION TOTALS,0,200,0,14,0,44,35,35,37,10,3,0,7,0
Clallam,0,2,0,0,0,1,0,0,3,14,0,14,0,1
Grays Harbor,0,60,0,0,0,16,7,7,1,24,0,24,0,0
Jefferson,0,2,0,0,0,0,0,2,0,0,0,0,0,0
Kitsap,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Mason,0,32,3,0,0,0,0,3,0,0,0,0,0,0
Pacific,0,39,0,0,0,0,0,12,54,0,0,0,0,0
Pierce,0,100,0,0,2,16,0,11,23,2,0,1,1,0
Thurston,0,105,1,0,0,17,15,30,33,0,0,0,0,2
REGION TOTALS,0,345,4,0,2,50,22,65,114,40,0,39,1,3
